"Format","AiM CSV File"
"Session","1FK"
"Vehicle","Mario"
"Racer","Joshua Tan"
"Championship",""
"Comment",""
"Date","Sunday, May 24, 2026"
"Time","12:16 PM"
"Sample Rate","20"
"Duration","660.993"
"Segment","Session"
"Beacon Markers","59.112","111.38","162.963","214.737","266.541","319.799","372.329","423.92","476.187","527.638","579.473","660.993"
"Segment Times","0:59.112","0:52.268","0:51.583","0:51.774","0:51.804","0:53.258","0:52.530","0:51.591","0:52.267","0:51.451","0:51.835","1:21.520"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","rpm","m"

"0.000","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2980.0000","0.0000"
"0.050","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2978.3201","0.1411"
"0.100","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2958.2000","0.2822"
"0.150","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2939.0000","0.4234"
"0.200","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2816.7200","0.5645"
"0.250","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2725.0801","0.7056"
"0.300","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2638.5601","0.8467"
"0.350","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2671.2400","0.9878"
"0.400","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2445.4399","1.1290"
"0.450","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2471.8401","1.2701"
"0.500","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2585.0000","1.4112"
"0.550","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2583.8000","1.5523"
"0.600","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2564.0000","1.6935"
"0.650","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2506.5200","1.8346"
"0.700","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2637.5601","1.9757"
"0.750","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2621.0000","2.1168"
"0.800","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2618.6799","2.2579"
"0.850","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2595.4399","2.3991"
"0.900","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2646.2800","2.5402"
"0.950","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2780.8000","2.6813"
"1.000","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2834.8000","2.8224"
"1.050","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2823.3999","2.9635"
"1.100","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2855.9600","3.1047"
"1.150","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2915.5601","3.2458"
"1.200","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2946.0400","3.3869"
"1.250","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2956.5601","3.5280"
"1.300","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2942.0801","3.6692"
"1.350","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2960.3999","3.8103"
"1.400","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2900.8000","3.9514"
"1.450","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2959.0400","4.0925"
"1.500","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2992.3201","4.2336"
"1.550","10.1607","3","0.0000","0.0000","-0.1024","-146.7592","0.0000","48.4861","20000.0000","22.0680","10000.0000","1.42311247","103.75837688","2972.2000","4.3748"
