"Format","AiM CSV File"
"Session","BiraKartVar2"
"Vehicle","KR"
"Racer","Joshuwawa"
"Championship","Iame Rd 2"
"Comment",""
"Date","Sunday, March 29, 2026"
"Time","8:14 AM"
"Sample Rate","20"
"Duration","677.995"
"Segment","Session"
"Beacon Markers","31.88","97.678","157.999","217.693","277.431","337.328","396.607","455.899","515.928","575.172","633.969","677.995"
"Segment Times","0:31.880","1:05.798","1:00.321","0:59.694","0:59.738","0:59.897","0:59.279","0:59.292","1:00.029","0:59.244","0:58.797","0:44.026"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","rpm","m"

"0.000","0.1764","16","0.0000","0.0000","-16.4975","160.3277","0.0000","79.2610","500.0000","0.3960","10000.0000","12.92158855","101.00874005","1250.0000","0.0000"
"0.050","0.1647","16","0.0000","0.0000","-22.9286","78.3429","0.0000","79.2566","500.0000","0.3870","10000.0000","12.92158855","101.00874008","1367.1200","0.0021"
"0.100","0.1218","16","0.0000","0.0000","-60.1406","-114.3597","0.0000","79.2330","500.0000","0.3240","10000.0000","12.92158856","101.00874019","1402.8000","0.0041"
"0.150","0.1095","16","0.0000","0.0000","-74.3288","-119.5130","0.0000","79.2137","500.0000","0.2610","10000.0000","12.92158855","101.00874015","1582.8800","0.0057"
"0.200","0.1298","16","0.0000","0.0000","-42.2221","-167.6112","0.0000","79.2341","500.0000","0.3240","10000.0000","12.92158860","101.00874019","1962.2800","0.0073"
"0.250","0.0999","16","0.0000","0.0000","-60.2450","-80.4247","0.0000","79.2442","500.0000","0.3240","10000.0000","12.92158858","101.00874008","2208.7200","0.0088"
"0.300","0.1800","16","0.0000","0.0000","-24.2738","110.5375","0.0000","79.2466","500.0000","0.4320","10000.0000","12.92158858","101.00874007","2575.5601","0.0108"
"0.350","0.1045","16","0.0000","0.0000","-44.6403","-48.1983","0.0000","79.2418","500.0000","0.3240","10000.0000","12.92158859","101.00874008","3044.5601","0.0129"
"0.400","0.2442","16","0.0000","0.0000","-16.9489","-84.9389","0.0000","79.2418","500.0000","0.3960","10000.0000","12.92158859","101.00874008","3666.9199","0.0151"
"0.450","0.1538","16","0.0000","0.0000","-33.6565","-94.6321","0.0000","79.2186","500.0000","0.3600","10000.0000","12.92158854","101.00874003","4375.2402","0.0177"
"0.500","0.1569","16","0.0000","0.0000","-35.5692","-82.8024","0.0000","79.2243","500.0000","0.3600","10000.0000","12.92158853","101.00874006","4835.7598","0.0199"
"0.550","0.1202","16","0.0000","0.0000","-63.7064","-124.9366","0.0000","79.2215","500.0000","0.3060","10000.0000","12.92158854","101.00874005","5056.3599","0.0219"
"0.600","0.1138","16","0.0000","0.0000","-56.8167","-160.6719","0.0000","79.2186","500.0000","0.3240","10000.0000","12.92158854","101.00874003","5278.3198","0.0235"
"0.650","0.1799","16","0.0000","0.0000","-26.9748","-75.8301","0.0000","79.2310","500.0000","0.3690","10000.0000","12.92158863","101.00874001","5396.0801","0.0256"
"0.700","0.1285","16","0.0000","0.0000","-39.1939","-59.4330","0.0000","79.2306","500.0000","0.3600","10000.0000","12.92158866","101.00873996","5391.6802","0.0278"
"0.750","0.1116","16","0.0000","0.0000","-49.1167","-118.4967","0.0000","79.2299","500.0000","0.3240","10000.0000","12.92158861","101.00873999","5221.3198","0.0294"
"0.800","0.1527","16","0.0000","0.0000","-31.2240","-170.9154","0.0000","79.2186","500.0000","0.3600","10000.0000","12.92158854","101.00874003","4960.0801","0.0312"
"0.850","0.1327","16","0.0000","0.0000","-61.5298","-92.5371","0.0000","79.2215","500.0000","0.3150","10000.0000","12.92158854","101.00874005","4738.2798","0.0330"
"0.900","0.2572","16","0.0000","0.0000","-20.7526","59.2960","0.0000","79.2321","500.0000","0.3960","10000.0000","12.92158856","101.00874014","4535.7998","0.0358"
"0.950","0.2411","16","0.0000","0.0000","-18.6079","89.0282","0.0000","79.2239","500.0000","0.3960","10000.0000","12.92158855","101.00874014","4332.8398","0.0394"
"1.000","0.1610","16","0.0000","0.0000","-36.4650","99.7623","0.0000","79.2205","500.0000","0.3960","10000.0000","12.92158854","101.00874012","4107.6802","0.0422"
"1.050","0.2433","16","0.0000","0.0000","-25.8851","96.4431","0.0000","79.2056","500.0000","0.4050","10000.0000","12.92158857","101.00874024","3882.3201","0.0451"
"1.100","0.2421","16","0.0000","0.0000","-21.1757","25.6755","0.0000","79.2234","500.0000","0.3960","10000.0000","12.92158858","101.00874021","3664.3999","0.0486"
"1.150","0.2149","16","0.0000","0.0000","-23.2589","-66.6986","0.0000","79.2327","500.0000","0.3870","10000.0000","12.92158860","101.00874012","3468.8799","0.0517"
"1.200","0.2415","16","0.0000","0.0000","-15.1533","-93.5625","0.0000","79.2323","500.0000","0.3960","10000.0000","12.92158861","101.00874010","3345.9600","0.0549"
"1.250","0.1412","16","0.0000","0.0000","-52.2144","169.0731","0.0000","79.2175","500.0000","0.3330","10000.0000","12.92158852","101.00874012","3304.6399","0.0573"
"1.300","0.1683","16","0.0000","0.0000","-38.0794","139.9451","0.0000","79.2155","500.0000","0.3780","10000.0000","12.92158850","101.00874017","3303.3999","0.0596"
"1.350","0.0928","16","0.0000","0.0000","-63.2289","122.2005","0.0000","79.2137","500.0000","0.3420","10000.0000","12.92158855","101.00874015","3469.6799","0.0614"
"1.400","0.1939","16","0.0000","0.0000","-24.6928","-42.8377","0.0000","79.2323","500.0000","0.3600","10000.0000","12.92158861","101.00874010","3663.3201","0.0632"
"1.450","0.1528","16","0.0000","0.0000","-43.6814","-42.4153","0.0000","79.2103","500.0000","0.3240","10000.0000","12.92158853","101.00874013","3824.0400","0.0655"
"1.500","0.2382","16","0.0000","0.0000","-32.9032","-135.8602","0.0000","79.2125","500.0000","0.3420","10000.0000","12.92158846","101.00874008","3990.0400","0.0683"
"1.550","0.1490","16","0.0000","0.0000","-63.4572","80.2543","0.0000","79.2106","500.0000","0.3060","10000.0000","12.92158846","101.00874011","4174.3198","0.0712"
"1.600","0.2068","16","0.0000","0.0000","-24.6596","119.8930","0.0000","79.2297","500.0000","0.3960","10000.0000","12.92158843","101.00874019","4495.3999","0.0735"
