"Format","AiM CSV File"
"Session","BiraKartVar2"
"Vehicle","KR"
"Racer","Ava"
"Championship","Iame Rd 2"
"Comment",""
"Date","Sunday, March 29, 2026"
"Time","8:15 AM"
"Sample Rate","20"
"Duration","635.994"
"Segment","Session"
"Beacon Markers","61.559","122.531","182.128","242.14","301.395","360.361","419.597","480.107","539.842","598.979","635.994"
"Segment Times","1:01.559","1:00.972","0:59.597","1:00.012","0:59.255","0:58.966","0:59.236","1:00.510","0:59.735","0:59.137","0:37.015"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","rpm","m"

"0.000","79.8131","16","0.0000","0.0000","-1.2484","-68.0997","0.0000","73.3752","2520.0000","0.4320","10000.0000","12.92205888","101.00762900","12874.0000","0.0000"
"0.050","79.8131","16","0.0000","0.0000","-1.2484","-68.0997","0.0000","73.3752","2520.0000","0.4320","10000.0000","12.92205888","101.00762900","12874.0000","1.1085"
"0.100","79.8131","16","0.0000","0.0000","-1.2484","-68.0997","0.0000","73.3752","2520.0000","0.4320","10000.0000","12.92205888","101.00762900","12874.0000","2.2170"
"0.150","79.8131","16","0.0000","0.0000","-1.2484","-68.0997","0.0000","73.3752","2520.0000","0.4320","10000.0000","12.92205888","101.00762900","12874.0000","3.3255"
"0.200","79.8131","16","0.0000","0.0000","-1.2484","-68.0997","0.0000","73.3752","2520.0000","0.4320","10000.0000","12.92205888","101.00762900","12874.0000","4.4341"
"0.250","79.8131","16","0.0000","0.0000","-1.2484","-68.0997","0.0000","73.3752","2520.0000","0.4320","10000.0000","12.92205888","101.00762900","12874.0000","5.5426"
"0.300","79.8131","16","0.0000","0.0000","-1.2484","-68.0997","0.0000","73.3752","2520.0000","0.4320","10000.0000","12.92205888","101.00762900","12874.0000","6.6511"
"0.350","79.8131","16","0.0000","0.0000","-1.2484","-68.0997","0.0000","73.3752","2520.0000","0.4320","10000.0000","12.92205888","101.00762900","12874.0000","7.7596"
"0.400","79.8131","16","0.0000","0.0000","-1.2484","-68.0997","0.0000","73.3752","2520.0000","0.4320","10000.0000","12.92205888","101.00762900","12874.0000","8.8681"
"0.450","80.0041","16","-0.1524","0.1356","-1.2347","-68.2542","-3.8640","73.3369","2503.0000","0.4320","329.5341","12.92206141","101.00762263","12852.5498","9.9782"
"0.500","80.4082","16","-0.1069","0.2356","-1.2043","-68.4008","-2.7016","73.3025","2489.0001","0.4320","473.6972","12.92206518","101.00761314","12889.9502","11.0920"
"0.550","80.4673","16","0.0426","0.0543","-1.2042","-68.3750","1.0730","73.2657","2473.0000","0.4320","1193.5227","12.92206908","101.00760376","12901.6504","12.2087"
"0.600","80.6476","16","0.1419","0.0666","-1.2078","-68.1698","3.5689","73.2287","2454.0000","0.4320","359.6488","12.92207310","101.00759438","12970.2500","13.3278"
"0.650","80.8412","16","-0.0055","0.1504","-1.1924","-68.1575","-0.1374","73.2060","2441.4999","0.4320","9361.4023","12.92207704","101.00758489","12826.4004","14.4491"
"0.700","80.8491","16","-0.0758","-0.0223","-1.1661","-68.2453","-1.8960","73.2003","2428.0000","0.4320","678.6555","12.92208097","101.00757544","12594.0000","15.5715"
"0.750","80.5324","16","0.0107","-0.1676","-1.1791","-68.2183","0.2649","73.1742","2406.5001","0.4320","4838.2842","12.92208485","101.00756607","12746.2002","16.6920"
"0.800","80.2861","16","-0.1032","-0.1598","-1.1679","-68.3449","-2.5934","73.1555","2394.0001","0.4536","492.7160","12.92208872","101.00755677","12366.5996","17.8092"
"0.850","80.0463","16","-0.1011","-0.1128","-1.1806","-68.4749","-2.5491","73.1315","2381.5000","0.4680","499.7746","12.92209251","101.00754739","12615.2998","18.9222"
"0.900","79.6324","16","0.0961","-0.2542","-1.1690","-68.3859","2.4338","73.1500","2369.0000","0.4680","520.7367","12.92209639","101.00753801","12400.6504","20.0307"
"0.950","79.2561","16","0.2216","-0.2234","-1.1459","-67.9416","5.6245","73.1635","2356.4999","0.4680","224.2670","12.92210027","101.00752865","12549.1504","21.1342"
"1.000","79.0415","16","-0.0166","-0.1131","-1.1432","-67.8470","-0.4240","73.1807","2344.0001","0.4680","2967.2354","12.92210406","101.00751929","12357.2998","22.2341"
"1.050","78.6069","16","0.0264","-0.1336","-1.1532","-68.0061","0.6769","73.1856","2331.5001","0.4680","1848.1545","12.92210772","101.00751002","12423.5498","23.3286"
"1.100","78.3329","16","0.0706","-0.1232","-1.1542","-67.9593","1.8140","73.2045","2319.0000","0.4680","687.2512","12.92211147","101.00750075","12356.7998","24.4184"
"1.150","78.1692","16","0.1003","-0.1281","-1.1526","-67.8665","2.5840","73.1840","2306.5000","0.4680","481.4664","12.92211525","101.00749148","12362.7002","25.5053"
"1.200","78.2527","16","0.1485","-0.1391","-1.1319","-67.6582","3.8378","73.1625","2293.9999","0.4680","324.5153","12.92211912","101.00748236","12245.2998","26.5917"
"1.250","78.0159","16","0.2132","-0.1712","-1.1489","-67.5626","5.5286","73.1447","2281.5001","0.4680","224.5888","12.92212291","101.00747329","12029.6504","27.6770"
"1.300","77.9524","16","0.2815","-0.2068","-1.1312","-67.2450","7.3265","73.1544","2269.0001","0.4680","169.3387","12.92212688","101.00746401","11972.5498","28.7599"
"1.350","77.2859","16","0.3920","-0.2257","-1.1503","-66.7690","10.2547","73.1456","2260.0000","0.4680","119.9494","12.92213082","101.00745520","12093.5996","29.8375"
"1.400","76.3981","16","0.5052","-0.2466","-1.1503","-65.8515","13.2827","73.1682","2253.9999","0.4680","91.5415","12.92213501","101.00744654","11851.7002","30.9054"
"1.450","75.6913","16","0.6130","-0.2543","-1.1563","-64.8215","16.2100","73.1668","2241.4999","0.4374","74.3159","12.92213938","101.00743797","11875.5996","31.9612"
"1.500","75.5025","16","0.6709","-0.2386","-1.1872","-64.1836","17.8451","73.1564","2229.0001","0.4320","67.3385","12.92214363","101.00742947","11904.0498","33.0115"
"1.550","75.3362","16","0.6937","-0.2254","-1.1382","-63.2776","18.5576","73.1809","2216.5000","0.4320","64.6104","12.92214816","101.00742089","11843.5996","34.0591"
