"Format","AiM CSV File"
"Session","1FK"
"Vehicle","13"
"Racer","Jamie"
"Championship","ROTAX"
"Comment",""
"Date","Thursday, September 12, 2024"
"Time","5:51 PM"
"Sample Rate","20"
"Duration","659.995"
"Segment","Session"
"Beacon Markers","10.972","69.693","120.856","172.865","223.341","274.213","324.348","374.68","425.128","475.575","525.973","576.469","659.995"
"Segment Times","0:10.972","0:58.721","0:51.163","0:52.009","0:50.476","0:50.872","0:50.135","0:50.332","0:50.448","0:50.447","0:50.398","0:50.496","1:23.526"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","rpm","m"

"0.000","0.3618","10","0.0000","0.0000","-32.4311","16.4236","0.0000","12.4008","1800.0000","0.5040","10000.0000","1.42308764","103.75884679","0.0000","0.0000"
"0.050","0.3369","10","0.0000","0.0000","-32.1785","52.8108","0.0000","12.4213","1800.0000","0.5040","10000.0000","1.42308759","103.75884679","0.0000","0.0039"
"0.100","0.2296","10","0.0000","0.0000","-42.4732","133.9258","0.0000","12.4828","1800.0000","0.5580","10000.0000","1.42308745","103.75884679","0.0000","0.0078"
"0.150","0.2686","10","0.0000","0.0000","-32.9140","68.4114","0.0000","12.4848","1792.5000","0.6390","10000.0000","1.42308751","103.75884686","0.0000","0.0111"
"0.200","0.4025","10","0.0000","0.0000","-19.8685","61.0109","0.0000","12.4977","1790.0000","0.6840","10000.0000","1.42308762","103.75884695","0.0000","0.0156"
"0.250","0.3694","10","0.0000","0.0000","-20.4574","32.6378","0.0000","12.4877","1790.0000","0.5760","10000.0000","1.42308772","103.75884685","0.0000","0.0211"
"0.300","0.2257","10","0.0000","0.0000","-37.2870","59.1086","0.0000","12.4981","1790.0000","0.6300","10000.0000","1.42308771","103.75884676","0.0000","0.0250"
"0.350","0.2768","10","0.0000","0.0000","-30.4759","140.1047","0.0000","12.5246","1790.0000","0.5760","10000.0000","1.42308764","103.75884670","0.0000","0.0284"
"0.400","0.2621","10","0.0000","0.0000","-16.8961","176.0845","0.0000","12.5588","1780.0000","0.5040","10000.0000","1.42308770","103.75884654","0.0000","0.0322"
"0.450","0.1178","10","0.0000","0.0000","-56.4775","70.5565","0.0000","12.5702","1780.0000","0.5670","10000.0000","1.42308788","103.75884656","673.9200","0.0347"
"0.500","0.1189","10","0.0000","0.0000","-48.9063","2.7170","0.0000","12.5655","1780.0000","0.5220","10000.0000","1.42308788","103.75884638","1169.5200","0.0363"
"0.550","0.1280","10","0.0000","0.0000","-45.6214","-86.6080","0.0000","12.5477","1780.0000","0.5850","10000.0000","1.42308782","103.75884631","1271.5601","0.0380"
"0.600","0.2305","10","0.0000","0.0000","-31.4801","-78.5569","0.0000","12.4771","1780.0000","0.6840","10000.0000","1.42308790","103.75884616","1033.0800","0.0404"
"0.650","0.3769","10","0.0000","0.0000","-30.6446","-97.0070","0.0000","12.3978","1770.0000","0.6840","10000.0000","1.42308771","103.75884601","979.8000","0.0446"
"0.700","0.6881","10","0.0000","0.0000","-17.4346","-120.8715","0.0000","12.3831","1770.0000","0.6840","10000.0000","1.42308760","103.75884577","978.0000","0.0521"
"0.750","0.8275","10","0.0000","0.0000","-13.1841","-121.2833","0.0000","12.3847","1770.0000","0.6840","10000.0000","1.42308749","103.75884555","952.0800","0.0628"
"0.800","1.0440","10","-0.0099","0.1750","-10.9119","-134.2493","0.0000","12.4246","1770.0000","0.6120","10000.0000","1.42308719","103.75884544","941.4000","0.0755"
"0.850","1.3620","10","0.0050","0.1830","-8.9466","-130.9638","0.0000","12.4231","1760.0000","0.6480","10000.0000","1.42308701","103.75884503","946.7600","0.0922"
"0.900","2.0283","10","0.0323","0.1797","-6.6560","-123.9928","0.0000","12.4056","1760.0000","0.6660","10000.0000","1.42308669","103.75884441","938.3600","0.1162"
"0.950","2.0929","10","0.0566","0.1538","-6.2866","-112.6905","0.0000","12.3942","1760.0000","0.7110","10000.0000","1.42308665","103.75884400","938.0000","0.1452"
"1.000","2.2314","10","0.0584","0.1113","-4.8090","-113.7527","0.0000","12.4454","1760.0000","0.7200","10000.0000","1.42308646","103.75884363","935.1200","0.1749"
"1.050","2.5905","10","0.0440","0.0587","-3.1813","-118.1640","0.0000","12.5254","1750.0000","0.6840","10000.0000","1.42308615","103.75884320","923.4800","0.2089"
"1.100","2.4951","10","0.0354","0.0223","-3.6295","-113.2895","0.0000","12.5115","1750.0000","0.7020","10000.0000","1.42308608","103.75884288","942.2000","0.2443"
"1.150","2.3903","10","0.0248","-0.0080","-4.7870","-103.6554","0.0000","12.4579","1750.0000","0.7470","10000.0000","1.42308616","103.75884252","927.6400","0.2782"
"1.200","2.4109","10","0.0066","-0.0268","-5.0789","-104.6383","0.0000","12.4258","1750.0000","0.7560","10000.0000","1.42308610","103.75884219","927.0000","0.3115"
"1.250","2.3554","10","0.0047","-0.0513","-5.1393","-108.6243","0.0000","12.4254","1740.0000","0.7470","10000.0000","1.42308590","103.75884182","937.5600","0.3447"
"1.300","2.0322","10","-0.0074","-0.0447","-5.4114","-115.2257","0.0000","12.4239","1740.0000","0.7200","10000.0000","1.42308578","103.75884178","939.9200","0.3749"
"1.350","1.8540","10","-0.0091","-0.0095","-5.8381","-118.1127","0.0000","12.4279","1740.0000","0.7470","10000.0000","1.42308567","103.75884165","926.5600","0.4020"
"1.400","2.0973","10","-0.0046","0.0316","-4.9513","-117.5927","0.0000","12.4296","1740.0000","0.7560","10000.0000","1.42308556","103.75884126","926.0000","0.4290"
"1.450","2.4552","10","0.0117","0.0191","-4.6159","-112.2063","0.0000","12.4151","1730.0000","0.7560","10000.0000","1.42308545","103.75884064","941.3600","0.4610"
"1.500","2.4711","10","-0.0061","0.0154","-4.7365","-107.7493","0.0000","12.4078","1730.0000","0.7740","10000.0000","1.42308538","103.75884029","932.4000","0.4954"
"1.550","2.3104","10","-0.0317","0.0217","-5.2991","-106.6869","0.0000","12.3933","1730.0000","0.7920","10000.0000","1.42308532","103.75883995","938.7200","0.5287"
"1.600","2.4746","10","-0.0129","-0.0064","-5.0726","-109.5005","0.0000","12.3906","1730.0000","0.7920","10000.0000","1.42308511","103.75883949","944.7600","0.5616"
